,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
0,Aaron Downey,AARON.DOWNEY,8465992,1974-08-27,33.0,R,F,R,DET,20072008,R,56.0,256.93,4.59,7.57,0.0,3.0,0.0,3.0,15.0,19.0,22.0
1,Aaron Johnson,AARON.JOHNSON,8469534,1983-04-30,24.0,D,D,L,NYI,20072008,R,30.0,415.85,13.86,22.84,0.0,0.0,2.0,2.0,16.0,22.0,46.0
2,Aaron Miller,AARON.MILLER,8457384,1971-08-11,36.0,D,D,R,VAN,20072008,R,57.0,988.18,17.34,28.42,1.0,1.0,7.0,9.0,27.0,45.0,68.0
3,Aaron Rome,AARON.ROME,8470310,1983-09-27,23.0,D,D,L,CBJ,20072008,R,17.0,309.03,18.18,29.92,1.0,0.0,1.0,2.0,15.0,24.0,33.0
4,Aaron Voros,AARON.VOROS,8469672,1981-07-02,26.0,L,F,L,MIN,20072008,R,55.0,504.6,9.17,15.08,7.0,6.0,1.0,14.0,52.0,71.0,88.0
5,Aaron Ward,AARON.WARD,8458519,1973-01-17,34.0,D,D,R,BOS,20072008,R,64.0,1325.75,20.71,33.87,5.0,2.0,6.0,13.0,68.0,103.0,142.0
6,Adam Berti,ADAM.BERTI,8471281,1986-07-01,21.0,L,F,L,CHI,20072008,R,2.0,20.23,10.12,16.86,0.0,0.0,0.0,0.0,1.0,2.0,2.0
7,Adam Burish,ADAM.BURISH,8470063,1983-01-06,24.0,R,F,R,CHI,20072008,R,80.0,938.38,11.73,19.3,4.0,3.0,1.0,8.0,68.0,79.0,90.0
8,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,CBJ,20072008,R,63.0,1514.07,24.03,39.48,1.0,3.0,10.0,14.0,57.0,86.0,115.0
9,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,COL,20072008,R,12.0,240.18,20.02,32.4,0.0,0.0,1.0,1.0,9.0,10.0,24.0
10,Adam Hall,ADAM.HALL,8467925,1980-08-14,27.0,R,F,R,PIT,20072008,R,46.0,546.15,11.87,19.52,2.0,1.0,3.0,6.0,39.0,55.0,60.0
11,Adam Mair,ADAM.MAIR,8466216,1979-02-15,28.0,C,F,R,BUF,20072008,R,71.0,630.73,8.88,14.51,5.0,6.0,6.0,17.0,61.0,78.0,98.0
12,Adam Pineault,ADAM.PINEAULT,8471259,1986-05-23,21.0,R,F,R,CBJ,20072008,R,3.0,33.13,11.04,18.41,0.0,0.0,0.0,0.0,5.0,6.0,8.0
13,Adrian Aucoin,ADRIAN.AUCOIN,8459053,1973-07-03,34.0,D,D,R,CGY,20072008,R,76.0,1591.43,20.94,34.52,10.0,11.0,14.0,35.0,121.0,195.0,294.0
14,Alain Nasreddine,ALAIN.NASREDDINE,8459558,1975-07-10,32.0,D,D,L,PIT,20072008,R,6.0,77.3,12.88,21.47,0.0,0.0,0.0,0.0,3.0,4.0,6.0
15,Ales Hemsky,ALES.HEMSKY,8469466,1983-08-13,24.0,R,F,R,EDM,20072008,R,74.0,1374.48,18.57,30.25,20.0,36.0,15.0,71.0,184.0,247.0,339.0
16,Ales Kotalik,ALES.KOTALIK,8467502,1978-12-23,28.0,R,F,R,BUF,20072008,R,78.0,1194.97,15.32,25.05,23.0,7.0,13.0,43.0,203.0,262.0,328.0
17,Alex Burrows,ALEX.BURROWS,8470358,1981-04-11,26.0,L,F,L,VAN,20072008,R,82.0,1238.08,15.1,24.73,12.0,13.0,6.0,31.0,126.0,177.0,217.0
18,Alex Edler,ALEX.EDLER,8471303,1986-04-21,21.0,D,D,L,VAN,20072008,R,75.0,1600.25,21.34,34.93,8.0,6.0,7.0,21.0,124.0,180.0,253.0
19,Alex Foster,ALEX.FOSTER,8472334,1984-08-26,23.0,C,F,L,TOR,20072008,R,3.0,10.6,3.53,5.89,0.0,0.0,0.0,0.0,1.0,1.0,2.0
20,Alex Frolov,ALEX.FROLOV,8468500,1982-06-19,25.0,L,F,R,L.A,20072008,R,71.0,1334.68,18.8,30.99,23.0,26.0,18.0,67.0,160.0,224.0,285.0
21,Alex Goligoski,ALEX.GOLIGOSKI,8471274,1985-07-30,22.0,D,D,L,PIT,20072008,R,3.0,41.82,13.94,22.6,0.0,1.0,1.0,2.0,2.0,2.0,3.0
22,Alex Kovalev,ALEX.KOVALEV,8458529,1973-02-24,34.0,R,F,L,MTL,20072008,R,82.0,1603.35,19.55,32.1,35.0,27.0,22.0,84.0,230.0,290.0,393.0
23,Alex Nikulin,ALEX.NIKULIN,8471334,1985-08-25,22.0,C,F,L,OTT,20072008,R,2.0,9.85,4.93,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Alex Ovechkin,ALEX.OVECHKIN,8471214,1985-09-17,21.0,L,F,R,WSH,20072008,R,82.0,1894.73,23.11,37.99,65.0,36.0,11.0,112.0,446.0,645.0,907.0
25,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,PHI,20072008,R,4.0,52.12,13.03,20.85,0.0,0.0,0.0,0.0,3.0,5.0,6.0
26,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,T.B,20072008,R,20.0,437.92,21.9,36.24,3.0,0.0,3.0,6.0,21.0,30.0,43.0
