PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8479411,Vitaly Abramov,L,Ottawa Senators,2,0,0,0,1166,0
8478569,Noel Acciari,C,Florida Panthers,41,4,7,11,37868,0
8480884,Calen Addison,D,Minnesota Wild,3,0,0,0,3333,0
8475844,Kenny Agostino,L,Toronto Maple Leafs,1,0,0,0,248,0
8475461,Andrew Agozzino,L,Anaheim Ducks,3,0,1,1,2192,0
8482072,Jack Ahcan,D,Boston Bruins,3,0,0,0,3715,-3
8478427,Sebastian Aho,C,Carolina Hurricanes,56,24,33,57,65421,16
8480222,Sebastian Aho,D,New York Islanders,3,1,1,2,2403,-1
8479329,Frederic Allard,D,Nashville Predators,1,0,0,0,1019,-2
8479322,Wade Allison,R,Philadelphia Flyers,14,4,3,7,10863,1
8481629,Olle Alsing,D,Ottawa Senators,4,0,0,0,2599,-1
8475729,Mark Alt,D,Los Angeles Kings,2,0,0,0,1630,0
8478020,Michael Amadio,C,"Los Angeles Kings,Ottawa Senators",25,0,3,3,18825,-3
8479315,Joey Anderson,R,Toronto Maple Leafs,1,0,0,0,576,1
8476981,Josh Anderson,R,Montréal Canadiens,52,17,7,24,51225,-10
8479998,Mikey Anderson,D,Los Angeles Kings,54,1,10,11,68611,0
8479994,Jaret Anderson-Dolan,C,Los Angeles Kings,34,7,4,11,27560,-9
8480072,Lias Andersson,C,Los Angeles Kings,23,3,3,6,16651,-4
8478397,Rasmus Andersson,D,Calgary Flames,56,5,16,21,71313,-9
8476404,Andy Andreoff,C,Philadelphia Flyers,6,0,0,0,3099,-6
8478074,Anthony Angello,R,Pittsburgh Penguins,19,2,2,4,9101,4
8473573,Artem Anisimov,C,Ottawa Senators,19,2,7,9,13709,1
8478891,Mason Appleton,C,Winnipeg Jets,56,12,13,25,48425,11
8476326,Josh Archibald,R,Edmonton Oilers,52,7,6,13,42259,2
8476469,Joel Armia,R,Montréal Canadiens,41,7,7,14,36178,10
8478042,Viktor Arvidsson,R,Nashville Predators,50,10,15,25,49814,9
8479335,Rasmus Asplund,C,Buffalo Sabres,28,7,4,11,21596,1
8479944,Zach Aston-Reese,L,Pittsburgh Penguins,45,9,6,15,39482,10
8476960,Andreas Athanasiou,C,Los Angeles Kings,47,10,13,23,42157,-6
8474715,Cam Atkinson,R,Columbus Blue Jackets,56,15,19,34,63618,-16
8477979,Nicolas Aube-Kubel,R,Philadelphia Flyers,50,3,9,12,33520,-3
8470655,David Backes,R,Anaheim Ducks,15,3,1,4,11461,-4
8474150,Mikael Backlund,C,Calgary Flames,54,9,23,32,57006,-7
8473563,Nicklas Backstrom,C,Washington Capitals,55,15,38,53,61363,0
8480860,Kevin Bahl,D,New Jersey Devils,7,0,2,2,7105,0
8474573,Josh Bailey,R,New York Islanders,54,8,27,35,56699,12
8477473,Justin Bailey,R,Vancouver Canucks,3,0,0,0,1224,-2
8478870,Rudolfs Balcers,L,San Jose Sharks,41,8,9,17,36190,-6
8482222,Alexander Barabanov,L,"Toronto Maple Leafs,San Jose Sharks",22,3,5,8,16252,1
8477964,Ivan Barbashev,C,St. Louis Blues,38,5,7,12,30445,5
8477493,Aleksander Barkov,C,Florida Panthers,50,26,32,58,62812,12
8479718,Alex Barre-Boulet,C,Tampa Bay Lightning,15,3,0,3,13727,0
8475197,Tyson Barrie,D,Edmonton Oilers,56,8,40,48,71892,4
8480289,Morgan Barron,C,New York Rangers,5,1,0,1,4107,-1
8474749,Matt Bartkowski,D,Minnesota Wild,1,0,0,0,782,-1
8478445,Mathew Barzal,C,New York Islanders,55,17,28,45,61787,15
8479414,Nathan Bastian,R,New Jersey Devils,41,3,7,10,31047,0
8480208,Drake Batherson,R,Ottawa Senators,56,17,17,34,55352,-17
8479945,Gavin Bayreuther,D,Columbus Blue Jackets,9,1,0,1,8309,-1
8474291,Jay Beagle,C,Vancouver Canucks,30,1,4,5,22534,-2
8479402,Jake Bean,D,Carolina Hurricanes,42,1,11,12,36635,-2
8478451,Ethan Bear,D,Edmonton Oilers,43,2,6,8,46341,-1
8480814,Nicolas Beaudin,D,Chicago Blackhawks,19,2,4,6,15708,1
8476470,Nathan Beaulieu,D,Winnipeg Jets,25,0,1,1,25091,-5
8478463,Anthony Beauvillier,L,New York Islanders,47,15,13,28,46251,15
8477930,Pierre-Edouard Bellemare,C,Colorado Avalanche,53,9,2,11,36019,6
8479356,Kieffer Bellows,L,New York Islanders,14,3,0,3,9257,0
8478011,Louie Belpedio,D,Minnesota Wild,1,0,0,0,838,-1
8475968,Alex Belzile,R,Montréal Canadiens,2,0,1,1,1277,-1
8480205,Emil Bemstrom,C,Columbus Blue Jackets,20,3,2,5,15427,2
8473994,Jamie Benn,L,Dallas Stars,52,11,24,35,55485,13
8474818,Jordie Benn,D,"Vancouver Canucks,Winnipeg Jets",39,1,9,10,34527,7
8477935,Sam Bennett,C,"Calgary Flames,Florida Panthers",48,10,17,27,41534,-2
8476988,Matt Benning,D,Nashville Predators,53,1,3,4,51924,-1
8481122,Simon Benoit,D,Anaheim Ducks,6,0,0,0,6191,-3
8470638,Patrice Bergeron,C,Boston Bruins,54,23,25,48,59039,27
8481640,Lean Bergmann,C,San Jose Sharks,1,0,0,0,619,-1
8480879,Jacob Bernard-Docker,D,Ottawa Senators,5,0,0,0,4098,2
8477479,Tyler Bertuzzi,L,Detroit Red Wings,9,5,2,7,10592,0
8473415,Alex Biega,D,Detroit Red Wings,13,0,3,3,8316,-1
8478056,Clark Bishop,C,Ottawa Senators,13,0,3,3,7388,2
8475868,Anthony Bitetto,D,New York Rangers,14,1,3,4,12130,-8
8478075,Anders Bjork,L,"Boston Bruins,Buffalo Sabres",45,5,6,11,37481,-13
8477416,Oliver Bjorkstrand,R,Columbus Blue Jackets,56,18,26,44,59168,-15
8481600,Tobias Bjornfot,D,Los Angeles Kings,33,1,5,6,33349,-3
8475760,Nick Bjugstad,C,Minnesota Wild,44,6,11,17,31180,7
8476278,Colin Blackwell,C,New York Rangers,47,12,10,22,39498,2
8478104,Sammy Blais,L,St. Louis Blues,36,8,7,15,26059,0
8479571,Joachim Blichfeld,R,San Jose Sharks,5,1,0,1,2607,-2
8477320,Anton Blidh,L,Boston Bruins,10,1,0,1,6464,-5
8476927,Teddy Blueger,C,Pittsburgh Penguins,43,7,15,22,38313,10
8478444,Brock Boeser,R,Vancouver Canucks,56,23,26,49,64914,-3
8474567,Zach Bogosian,D,Toronto Maple Leafs,45,0,4,4,39250,7
8474009,Nick Bonino,C,Minnesota Wild,55,10,16,26,49024,0
8480871,Adam Boqvist,D,Chicago Blackhawks,35,2,14,16,35679,-7
8480003,Jesper Boqvist,C,New Jersey Devils,28,4,3,7,18740,-5
8478840,Will Borgen,D,Buffalo Sabres,10,0,0,0,9758,-4
8480158,Andreas Borgman,D,Tampa Bay Lightning,7,0,2,2,5023,-2
8474697,Mark Borowiecki,D,Nashville Predators,22,0,1,1,18053,-2
8474145,Robert Bortuzzo,D,St. Louis Blues,40,1,4,5,33991,-3
8480803,Evan Bouchard,D,Edmonton Oilers,14,2,3,5,12461,-2
8477474,Madison Bowey,D,Chicago Blackhawks,2,0,1,1,1337,1
8476329,Travis Boyd,C,"Toronto Maple Leafs,Vancouver Canucks",39,5,5,10,25102,-5
8475098,Tyler Bozak,C,St. Louis Blues,31,5,12,17,27738,-3
8480073,Erik Brannstrom,D,Ottawa Senators,30,2,11,13,29444,3
8473544,Derick Brassard,C,Arizona Coyotes,53,8,12,20,47050,-10
8479407,Jesper Bratt,L,New Jersey Devils,46,7,23,30,44370,4
8474027,Justin Braun,D,Philadelphia Flyers,53,1,5,6,58924,0
8478465,Guillaume Brisebois,D,Vancouver Canucks,1,0,0,0,691,0
8474673,TJ Brodie,D,Toronto Maple Leafs,56,1,13,14,72433,23
8476463,Jonas Brodin,D,Minnesota Wild,53,9,14,23,71341,2
8477380,Jonny Brodzinski,C,New York Rangers,5,1,0,1,3400,0
8482240,Mathias Brome,L,Detroit Red Wings,26,1,1,2,21291,-9
8478996,Adam Brooks,C,Toronto Maple Leafs,11,4,1,5,7047,4
8477015,Connor Brown,R,Ottawa Senators,56,21,14,35,61294,1
8470606,Dustin Brown,R,Los Angeles Kings,49,17,14,31,51806,-3
8477384,Josh Brown,D,Ottawa Senators,26,0,1,1,22060,-1
8479366,Logan Brown,C,Ottawa Senators,1,0,0,0,580,0
8477887,Patrick Brown,C,Vegas Golden Knights,4,0,0,0,2183,0
8480196,Jacob Bryson,D,Buffalo Sabres,38,1,8,9,43424,-1
8477402,Pavel Buchnevich,L,New York Rangers,54,20,28,48,60694,12
8479382,Connor Bunnaman,C,Philadelphia Flyers,18,0,1,1,12488,-6
8478047,Michael Bunting,L,Arizona Coyotes,21,10,3,13,21032,-1
8477444,Andre Burakovsky,L,Colorado Avalanche,53,19,25,44,47993,4
8470613,Brent Burns,D,San Jose Sharks,56,7,22,29,87836,-13
8477335,Kyle Burroughs,D,Colorado Avalanche,5,0,1,1,3024,1
8477355,Will Butcher,D,New Jersey Devils,23,1,10,11,26264,-3
8482124,Quinton Byfield,C,Los Angeles Kings,6,0,1,1,5403,1
8481524,Bowen Byram,D,Colorado Avalanche,19,0,2,2,19963,1
8474038,Paul Byron,L,Montréal Canadiens,46,5,11,16,35474,5
8479381,Nick Caamano,L,Dallas Stars,24,0,1,1,13454,-7
8479465,Drake Caggiula,C,"Arizona Coyotes,Buffalo Sabres",38,3,7,10,28278,-6
8474685,Matt Calvert,L,Colorado Avalanche,18,0,3,3,14915,-2
8478476,Kyle Capobianco,D,Arizona Coyotes,2,0,0,0,1735,-2
8478443,Brandon Carlo,D,Boston Bruins,27,3,1,4,30309,1
