,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
0,Aaron Downey,AARON.DOWNEY,8465992,1974-08-27,33.0,R,F,R,DET,20072008,R,56.0,254.55,4.55,9.9,0.0,3.0,0.0,3.0,15.0,19.0,22.0
1,Aaron Johnson,AARON.JOHNSON,8469534,1983-04-30,24.0,D,D,L,NYI,20072008,R,30.0,342.2,11.41,24.94,0.0,0.0,1.0,1.0,13.0,18.0,34.0
2,Aaron Miller,AARON.MILLER,8457384,1971-08-11,36.0,D,D,R,VAN,20072008,R,57.0,828.23,14.53,31.67,1.0,1.0,7.0,9.0,26.0,43.0,64.0
3,Aaron Rome,AARON.ROME,8470310,1983-09-27,23.0,D,D,L,CBJ,20072008,R,17.0,259.82,15.28,33.16,1.0,0.0,1.0,2.0,13.0,21.0,29.0
4,Aaron Voros,AARON.VOROS,8469672,1981-07-02,26.0,L,F,L,MIN,20072008,R,55.0,422.58,7.68,16.21,7.0,5.0,1.0,13.0,42.0,55.0,69.0
5,Aaron Ward,AARON.WARD,8458519,1973-01-17,34.0,D,D,R,BOS,20072008,R,64.0,1051.48,16.43,34.42,5.0,2.0,3.0,10.0,51.0,81.0,115.0
6,Adam Berti,ADAM.BERTI,8471281,1986-07-01,21.0,L,F,L,CHI,20072008,R,2.0,19.85,9.93,19.97,0.0,0.0,0.0,0.0,1.0,2.0,2.0
7,Adam Burish,ADAM.BURISH,8470063,1983-01-06,24.0,R,F,R,CHI,20072008,R,80.0,682.63,8.53,18.89,3.0,3.0,1.0,7.0,62.0,71.0,80.0
8,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,CBJ,20072008,R,63.0,1162.62,18.45,40.37,0.0,2.0,5.0,7.0,47.0,73.0,97.0
9,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,COL,20072008,R,12.0,199.3,16.61,34.89,0.0,0.0,1.0,1.0,9.0,10.0,21.0
10,Adam Hall,ADAM.HALL,8467925,1980-08-14,27.0,R,F,R,PIT,20072008,R,46.0,381.07,8.28,18.27,2.0,1.0,2.0,5.0,35.0,49.0,54.0
11,Adam Mair,ADAM.MAIR,8466216,1979-02-15,28.0,C,F,R,BUF,20072008,R,71.0,596.53,8.4,18.13,5.0,6.0,6.0,17.0,56.0,71.0,90.0
12,Adam Pineault,ADAM.PINEAULT,8471259,1986-05-23,21.0,R,F,R,CBJ,20072008,R,3.0,33.13,11.04,23.73,0.0,0.0,0.0,0.0,5.0,6.0,8.0
