,player,player_upper,api_id,birthday,season_age,position,position_type,shoots,team,season,session,gp,toi,toi_gp,toi_perc,g,a1,a2,points,isf,iff,icf
0,Aaron Downey,AARON.DOWNEY,8465992,1974-08-27,33.0,R,F,R,DET,20072008,R,56.0,1.5,0.03,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aaron Johnson,AARON.JOHNSON,8469534,1983-04-30,24.0,D,D,L,NYI,20072008,R,30.0,55.2,1.84,25.28,0.0,0.0,1.0,1.0,2.0,3.0,10.0
2,Aaron Miller,AARON.MILLER,8457384,1971-08-11,36.0,D,D,R,VAN,20072008,R,57.0,9.5,0.17,2.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,Aaron Rome,AARON.ROME,8470310,1983-09-27,23.0,D,D,L,CBJ,20072008,R,17.0,20.13,1.18,16.34,0.0,0.0,0.0,0.0,2.0,3.0,4.0
4,Aaron Voros,AARON.VOROS,8469672,1981-07-02,26.0,L,F,L,MIN,20072008,R,55.0,74.55,1.36,21.76,0.0,1.0,0.0,1.0,10.0,16.0,18.0
5,Aaron Ward,AARON.WARD,8458519,1973-01-17,34.0,D,D,R,BOS,20072008,R,63.0,106.32,1.69,25.93,0.0,0.0,3.0,3.0,15.0,20.0,25.0
6,Adam Berti,ADAM.BERTI,8471281,1986-07-01,21.0,L,F,L,CHI,20072008,R,2.0,0.38,0.19,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Adam Burish,ADAM.BURISH,8470063,1983-01-06,24.0,R,F,R,CHI,20072008,R,79.0,18.18,0.23,3.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,CBJ,20072008,R,63.0,30.4,0.48,6.87,0.0,0.0,1.0,1.0,3.0,5.0,10.0
9,Adam Foote,ADAM.FOOTE,8456283,1971-07-10,36.0,D,D,R,COL,20072008,R,12.0,6.4,0.53,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,Adam Hall,ADAM.HALL,8467925,1980-08-14,27.0,R,F,R,PIT,20072008,R,46.0,9.72,0.21,2.69,0.0,0.0,1.0,1.0,1.0,1.0,1.0
11,Adam Mair,ADAM.MAIR,8466216,1979-02-15,28.0,C,F,R,BUF,20072008,R,71.0,12.82,0.18,2.48,0.0,0.0,0.0,0.0,3.0,5.0,6.0
12,Adam Pineault,ADAM.PINEAULT,8471259,1986-05-23,21.0,R,F,R,CBJ,20072008,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Adrian Aucoin,ADRIAN.AUCOIN,8459053,1973-07-03,34.0,D,D,R,CGY,20072008,R,76.0,326.95,4.3,63.43,5.0,7.0,8.0,20.0,48.0,75.0,109.0
14,Alain Nasreddine,ALAIN.NASREDDINE,8459558,1975-07-10,32.0,D,D,L,PIT,20072008,R,6.0,0.43,0.07,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Ales Hemsky,ALES.HEMSKY,8469466,1983-08-13,24.0,R,F,R,EDM,20072008,R,74.0,281.85,3.81,56.9,8.0,12.0,9.0,29.0,38.0,44.0,63.0
16,Ales Kotalik,ALES.KOTALIK,8467502,1978-12-23,28.0,R,F,R,BUF,20072008,R,78.0,251.97,3.23,44.78,11.0,5.0,6.0,22.0,65.0,84.0,108.0
17,Alex Burrows,ALEX.BURROWS,8470358,1981-04-11,26.0,L,F,L,VAN,20072008,R,82.0,18.12,0.22,3.12,1.0,0.0,0.0,1.0,1.0,3.0,3.0
18,Alex Edler,ALEX.EDLER,8471303,1986-04-21,21.0,D,D,L,VAN,20072008,R,75.0,246.92,3.29,47.18,4.0,4.0,3.0,11.0,44.0,54.0,76.0
19,Alex Foster,ALEX.FOSTER,8472334,1984-08-26,23.0,C,F,L,TOR,20072008,R,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Alex Frolov,ALEX.FROLOV,8468500,1982-06-19,25.0,L,F,R,L.A,20072008,R,71.0,252.13,3.55,46.63,5.0,3.0,10.0,18.0,37.0,54.0,66.0
21,Alex Goligoski,ALEX.GOLIGOSKI,8471274,1985-07-30,22.0,D,D,L,PIT,20072008,R,3.0,7.5,2.5,29.45,0.0,0.0,0.0,0.0,2.0,2.0,2.0
22,Alex Kovalev,ALEX.KOVALEV,8458529,1973-02-24,34.0,R,F,L,MTL,20072008,R,82.0,337.22,4.11,57.28,17.0,13.0,16.0,46.0,77.0,91.0,124.0
23,Alex Nikulin,ALEX.NIKULIN,8471334,1985-08-25,22.0,C,F,L,OTT,20072008,R,2.0,0.67,0.33,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Alex Ovechkin,ALEX.OVECHKIN,8471214,1985-09-17,21.0,L,F,R,WSH,20072008,R,82.0,456.72,5.57,84.03,21.0,12.0,3.0,36.0,121.0,173.0,246.0
25,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,PHI,20072008,R,4.0,6.48,1.62,17.84,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,Alex Picard,ALEX.PICARD,8470678,1985-07-05,22.0,D,D,L,T.B,20072008,R,20.0,34.35,1.72,29.62,1.0,0.0,1.0,2.0,4.0,6.0,9.0
27,Alex Picard (L),ALEX.PICARD2,8471221,1985-10-09,21.0,L,F,L,CBJ,20072008,R,3.0,2.63,0.88,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Alex Radulov,ALEX.RADULOV,8471228,1986-07-05,21.0,R,F,L,NSH,20072008,R,81.0,247.8,3.06,42.48,4.0,1.0,1.0,6.0,29.0,39.0,45.0
29,Alex Semin,ALEX.SEMIN,8470120,1984-03-03,23.0,L,F,R,WSH,20072008,R,63.0,278.98,4.43,67.16,10.0,7.0,3.0,20.0,62.0,83.0,106.0
30,Alex Steen,ALEX.STEEN,8470257,1984-03-01,23.0,C,F,L,TOR,20072008,R,76.0,127.63,1.68,24.19,2.0,3.0,4.0,9.0,17.0,24.0,30.0
31,Alex Tanguay,ALEX.TANGUAY,8467338,1979-11-21,27.0,L,F,L,CGY,20072008,R,78.0,235.92,3.02,44.37,3.0,11.0,1.0,15.0,16.0,19.0,30.0
32,Alexei Ponikarovsky,ALEXEI.PONIKAROVSKY,8467412,1980-04-09,27.0,L,F,L,TOR,20072008,R,66.0,127.72,1.94,27.36,1.0,3.0,3.0,7.0,15.0,24.0,27.0
33,Alexei Semenov,ALEXEI.SEMENOV,8467909,1981-04-10,26.0,D,D,L,S.J,20072008,R,22.0,31.17,1.42,22.57,1.0,0.0,0.0,1.0,6.0,7.0,9.0
34,Alexei Zhitnik,ALEXEI.ZHITNIK,8458595,1972-10-10,34.0,D,D,L,ATL,20072008,R,65.0,60.38,0.93,14.74,0.0,1.0,1.0,2.0,6.0,8.0,10.0
35,Allan Rourke,ALLAN.ROURKE,8467469,1980-03-06,27.0,D,D,L,EDM,20072008,R,13.0,0.3,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Anders Eriksson,ANDERS.ERIKSSON,8459443,1975-01-09,32.0,D,D,L,CGY,20072008,R,61.0,125.0,2.05,31.29,1.0,2.0,2.0,5.0,10.0,16.0,24.0
37,Andre Roy,ANDRE.ROY,8460639,1975-02-08,32.0,R,F,L,T.B,20072008,R,62.0,6.85,0.11,1.87,0.0,0.0,0.0,0.0,3.0,3.0,3.0
38,Andreas Karlsson,ANDREAS.KARLSSON,8459571,1975-08-19,32.0,C,F,L,T.B,20072008,R,57.0,16.47,0.29,4.99,0.0,0.0,0.0,0.0,1.0,2.0,3.0
39,Andreas Lilja,ANDREAS.LILJA,8468534,1975-07-13,32.0,D,D,L,DET,20072008,R,79.0,9.0,0.11,1.59,0.0,0.0,0.0,0.0,1.0,1.0,3.0
40,Andrei Kostitsyn,ANDREI.KOSTITSYN,8470603,1985-02-03,22.0,L,F,L,MTL,20072008,R,78.0,233.13,2.99,42.4,12.0,4.0,0.0,16.0,40.0,53.0,61.0
41,Andrei Markov,ANDREI.MARKOV,8467496,1978-12-20,28.0,D,D,L,MTL,20072008,R,82.0,420.67,5.13,71.45,10.0,10.0,11.0,31.0,63.0,102.0,147.0
42,Andrei Zyuzin,ANDREI.ZYUZIN,8465250,1978-01-21,29.0,D,D,L,CHI,20072008,R,32.0,60.98,1.91,26.76,1.0,1.0,0.0,2.0,12.0,19.0,22.0
43,Andrej Meszaros,ANDREJ.MESZAROS,8471236,1985-10-13,21.0,D,D,L,OTT,20072008,R,81.0,218.43,2.7,41.45,6.0,6.0,4.0,16.0,46.0,66.0,97.0
44,Andrej Sekera,ANDREJ.SEKERA,8471284,1986-06-08,21.0,D,D,L,BUF,20072008,R,36.0,37.9,1.05,14.44,0.0,2.0,1.0,3.0,3.0,5.0,10.0
